category,display_name,count,high_priority,medium_priority,low_priority,pct_of_total,top_materials,top_methods
polymer_nanocomposite,Polymer Nanocomposite,16,1,3,12,3.5%,pla(11); composite(6); pe(5); ps(4); filler(3),tem(10); sem(7); dma(6); dsc(4); sec(3)
SAXS_WAXS_FTIR_DSC_characterization,SAXS/WAXS/FTIR/DSC Characterization,30,0,18,12,6.6%,pla(12); ps(9); elastomer(4); rubber(4); block copolymer(4),tem(19); sem(13); sec(10); saxs(10); dsc(9)
supramolecular_polymer,Supramolecular Polymer,12,0,1,11,2.7%,pla(4); elastomer(4); pe(1); block copolymer(1); ionic liquid(1),tem(6); sem(4); sec(3); dsc(1); ft-ir(1)
bio_based_polymer,Bio-Based Polymer,12,0,2,10,2.7%,pla(7); pe(3); ps(3); collagen(2); hydrogel(2),sec(4); tem(3); sem(2); rheology(1); dsc(1)
irrelevant_or_low_priority,Irrelevant / Low Priority,148,0,0,148,32.7%,pla(44); elastomer(21); pe(17); ps(14); hydrogel(10),tem(52); sec(20); sem(14); dsc(12); viscoelastic(11)
review_or_background,Review / Background,62,0,62,0,13.7%,pla(29); ps(9); pe(7); block copolymer(5); composite(4),tem(30); sem(17); dsc(8); sec(6); molecular dynamics(4)
TPU_mechanics,TPU Mechanics,13,2,10,1,2.9%,pla(10); polyurethane(8); elastomer(8); tpu(4); rubber(4),tem(7); saxs(4); sem(3); waxs(2); sec(2)
self_healing_elastomer,Self-Healing Elastomer,22,2,8,12,4.9%,pla(15); elastomer(8); rubber(6); pe(6); hydrogel(4),tem(13); sec(6); sem(5); viscoelastic(3); tensile test(3)
polymer_blend,Polymer Blend,13,0,0,13,2.9%,pla(5); block copolymer(3); pe(3); composite(1); polyethylene(1),tem(9); sec(5); molecular dynamics(3); viscoelastic(2); ft-ir(1)
PVDF_piezoelectric_biomaterials,PVDF/Piezo Biomaterials,44,0,3,41,9.7%,pla(9); tpu(8); ps(7); pvdf(7); composite(5),tem(21); dielectric(8); sec(7); sem(7); dma(4)
biodegradable_polyurethane,Biodegradable Polyurethane,8,2,2,4,1.8%,pla(6); tpu(4); pvdf(3); composite(3); polyurethane(3),tem(3); electrospinning(3); cell culture(2); dielectric(1); sem(1)
shape_memory_polyurethane,Shape Memory Polyurethane,6,0,1,5,1.3%,pe(6); ps(2); elastomer(2); pla(2),tem(4); sem(2); viscoelastic(1); dsc(1); nmr(1)
polyurethane_microphase_separation,Polyurethane Microphase Separation,15,3,8,4,3.3%,polyurethane(14); pla(13); elastomer(9); tpu(5); ps(4),tem(11); sem(8); sec(6); dma(3); dielectric(3)
ionogel_or_magnetic_ionogel,Ionogel / Magnetic Ionogel,32,0,7,25,7.1%,ionic liquid(17); pla(14); ionogel(11); composite(8); ps(4),tem(18); sec(8); sem(7); dma(4); dsc(3)
protein_adsorption_cell_response,Protein Adsorption & Cell Response,3,0,0,3,0.7%,pla(2); ps(2); elastomer(1),sec(3); sem(3); tem(3); viscoelastic(1); 3d printing(1)
PCL_based_polyurethane,PCL-Based Polyurethane,6,0,4,2,1.3%,pla(4); ps(3); pcl(3); polycaprolactone(2); block copolymer(1),dielectric(2); molecular dynamics(2); sem(2); tem(2); sec(1)
machine_learning_polymer_properties,ML for Polymer Properties,10,0,2,8,2.2%,pla(2); ps(1); graphene(1); pe(1); pam(1),tem(8); dft(3); sem(3); dma(2); molecular dynamics(1)
